"","s.Control","s.Control Depression","s.PMS","s.PMS Depression","s.RRMS","s.RRMS Depression","index","stat","p.value"
"92536f32cbcb2bcc3e29a35344bbfb12",0,0,0,0,1,0,5,0.0616626415978207,0.525
"89be197f2fd70396b7cc3cc7ff11cc05",0,0,0,0,1,0,5,0.0872041440393895,0.529
"8029f9abaca2bb499c5e9183aeeeb158",0,0,0,0,1,0,5,0.0790038496184385,0.728
"5e3b84f7d63f832002e34b8beabb9d86",1,0,0,0,0,0,1,0.0716114874039433,0.721
"0eb91682bac8e3d3ee0b879c18f52c66",1,0,0,0,1,0,10,0.0553424532912486,1
"5bab869aff91ffdc9f2b37a16acc600d",1,0,0,0,0,0,1,0.0716114874039433,0.717
"e6e6449c29a4c4ad279dbd78ed42a96f",1,0,1,1,1,1,61,0.167273833219082,0.825
"35f9835bd8d294ffe23bdaa0694fbc19",0,0,0,0,1,0,5,0.0872041440393895,0.505
"207f69965e1f77cb3603cb3837550d27",1,0,1,1,1,0,48,0.327820090386165,0.064
"47327e66c679ef861fa564b3476492b1",0,0,1,0,0,0,3,0.228146368475886,0.192
"d766084386a675b9db31df2f57fd3c26",0,0,0,0,1,0,5,0.10221423178497,0.489
"0e532d7d30f09ddc3a582da5e7a7a78f",0,0,0,1,1,0,19,0.146890840328957,0.405
"44db44c7972f1cf2e0919f3c47204717",1,0,1,0,1,0,27,0.133174074965204,0.743
"6e674e8b2586b84298997a1a268a7871",0,0,0,0,1,0,5,0.106802828176336,0.345
"2349981873e5987618b63ef1eacdc4f8",1,0,0,0,0,1,11,0.137322493367492,0.391
"78ccb35f0c7e03520d19c8a523022987",1,1,1,1,1,1,63,0.248683816535712,NA
"52e6bf2664c19ef8ab2ad6efc878b85c",0,0,0,0,1,0,5,0.101564712215546,0.452
"2aebd633398f7fbd781d19e796ddef44",1,0,0,0,1,0,10,0.0875041018509136,0.892
"8a8d0adcae3670b2e2f04621bd765da7",1,0,1,0,1,0,27,0.155030249255955,0.759
"fab2ce018bde3fac0b28e76925bf98fc",0,0,0,0,1,0,5,0.130022892387894,0.562
"2521eb1c0a11ee8b14f0f442bf1b401c",1,0,1,0,0,0,8,0.112986536573206,0.537
"93443acde90d40984d22527626c34b67",0,0,1,1,1,0,38,0.148725217649733,0.434
"dd2d4fe773fdf7922b3525d9f5b1d153",0,0,0,0,0,1,6,0.0970881877798079,0.579
"cd431482e851bf58ffa4d1532f37d077",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3a61dda722420445a7f2e78ef33477c5",0,0,1,0,0,0,3,0.183775620634143,0.027
"12675fc09975b1814d748c77ce8ac157",0,0,0,0,1,0,5,0.0616626415978207,0.554
"854bdbec61926aa069f49ea7c119123b",1,0,1,1,1,1,61,0.217819318414259,0.563
"9f04d7b980e0ee9238429496f2686252",0,0,0,0,1,0,5,0.0616626415978207,0.537
"b9b579552e4410263568cae2820be5f7",1,0,0,0,0,0,1,0.0506369683541833,1
"8e59fef32389c25429e174894ad69fff",1,0,1,0,1,1,50,0.389086785875528,0.184
"110ad3992f825e7203f1923383607888",1,1,1,1,1,1,63,0.721401462440761,NA
"fd1b05a3bb5c9987b04a5536c6790e8f",1,1,1,1,1,1,63,0.316780773316591,NA
"d06877e36d84c7b852fe279e8ec0a1c1",1,0,0,0,1,0,10,0.0677803858386852,1
"ea27ae22c6884bd2bfffff677170c809",0,1,1,0,0,1,34,0.123042689776048,0.299
"e2ab237dcff5c4d1da02ae6ee133078e",0,1,1,0,1,0,33,0.193985356502312,0.689
"af49c021abc38ea8180165309a44bfe1",0,0,0,0,1,0,5,0.0850980571500393,0.6
"6b14fdec5a1f865551ce3ac43d11cca2",1,0,0,0,1,1,31,0.140126170355552,0.616
"b286655adc00dacc4f040025d06bbce5",0,1,1,0,0,0,12,0.179491320058123,0.052
"a3f89452355e687eb93070af8c6bb332",1,0,1,0,0,0,8,0.0977248706809394,0.897
"bd6aa621cd7f6301fff4ef6ce48bd85c",0,0,1,0,0,0,3,0.100893466452085,0.33
"485bc6997daf56e8a7acbc3185a33fbc",0,0,0,1,0,0,4,0.164527371208167,0.094
"21d7913c86962a8401f89fa375018f5d",0,0,0,0,1,0,5,0.0581299282042547,0.855
"4790469e65b73b73a8cee2300ea51fa7",1,1,0,1,0,0,23,0.183152846228164,0.247
"d347c7ade350865db4686d92c391ea02",1,0,0,0,1,0,10,0.0553424532912486,1
"53ae9271de875b23e0f37ccb431fc1ab",0,0,0,0,1,1,21,0.162786102997213,0.465
"e73d8fa79e2d30dde20e7a037e48bcd2",0,1,0,0,1,1,37,0.176417479239903,0.575
"5482ca2a2c41f6d80bcd67afd7fefc39",1,0,0,0,1,0,10,0.0875041018509136,0.922
